ID;COLOR;MARCA;KILOMETRAJE
1;Blanco;AlfaRomeo;82979.866
2;Blanco;Volkswagen;86957.356
3;Amarillo;Jeep;91468.748
4;Amarillo;Tesla;53804.437
5;Negro;Ford;61558.069
6;Rojo;Mitsubishi;65681.63
7;Amarillo;MINI;1734.481
8;Negro;KIA;61454.684
9;Amarillo;Volvo;3256.777
10;Blanco;Mitsubishi;97376.655
11;Blanco;Fiat;60690.159
12;Verde;Audi;63488.784
13;Blanco;Dacia;59161.284
14;Blanco;Skoda;97078.241
15;Rojo;Pagani;39750.168
16;Amarillo;Infiniti;2684.119
17;Blanco;DS;50748.991
18;Verde;Bentley;5352.356
19;Rojo;Hyundai;32209.277
20;Blanco;Lotus;64905.699
21;Amarillo;Toyota;21397.144
22;Azul;Volvo;64014.102
23;Blanco;Ferrari;6797.405
24;Azul;Audi;56609.317
25;Blanco;SEAT;64655.358
26;Blanco;Honda;60157.347
27;Amarillo;Alpine;43411.442
28;Azul;Dacia;84644.325
29;Amarillo;Dacia;93647.524
30;Rojo;Renault;81692.627
31;Azul;Lotus;92390.718
32;Negro;Dacia;42539.941
33;Negro;Koenigsegg;66065.422
34;Amarillo;Audi;76907.349
35;Rojo;Koenigsegg;53487.854
36;Verde;Koenigsegg;23962.981
37;Amarillo;Volkswagen;63688.913
38;Amarillo;Honda;19253.775
39;Amarillo;SEAT;9846.871
40;Rojo;Pagani;9913.793
41;Rojo;Subaru;44215.374
42;Rojo;AlfaRomeo;46636.581
43;Negro;Lotus;75835.617
44;Verde;Audi;11481.065
45;Blanco;Porsche;36403.553
46;Azul;CUPRA;71913.311
47;Rojo;Koenigsegg;25489.705
48;Azul;Dacia;94605.076
49;Blanco;Abarth;37134.83
50;Verde;Nissan;48137.338
51;Blanco;Abarth;60610.341
52;Negro;Skoda;67302.904
53;Azul;KIA;90967.362
54;Negro;Lotus;18264.425
55;Azul;Jaguar;54218.514
56;Rojo;Bugatti;73187.986
57;Amarillo;Maserati;89106.397
58;Blanco;Opel;84610.366
59;Azul;Suzuki;66103.256
60;Blanco;Citroën;7870.319
61;Blanco;Nissan;15436.579
62;Rojo;Nissan;98288.57
63;Azul;Lexus;72611.808
64;Negro;Pagani;56952.513
65;Verde;Polestar;92359.824
66;Negro;DS;93172.894
67;Verde;Tesla;82614.616
68;Azul;Rolls-Royce;45840.845
69;Blanco;Mercedes-Benz;38654.912
70;Azul;Maserati;72622.417
71;Verde;Volvo;25738.373
72;Azul;Jaguar;92469.285
73;Blanco;Lamborghini;45422.663
74;Negro;Subaru;271.225
75;Amarillo;Ford;97495.342
76;Amarillo;Smart;64288.46
77;Rojo;Hyundai;4403.174
78;Rojo;Renault;48627.78
79;Amarillo;Bugatti;28847.453
80;Amarillo;Bugatti;60500.388
81;Negro;Audi;85549.3
82;Rojo;Subaru;21044.71
83;Amarillo;Nissan;15028.754
84;Azul;Smart;69523.691
85;Negro;Mazda;57713.175
86;Verde;SsangYong;83811.398
87;Verde;KIA;90109.989
88;Azul;Lamborghini;90052.993
89;Verde;BMW;77650.228
90;Azul;AstonMartin;25688.055
91;Negro;Rivian;69824.246
92;Amarillo;MINI;51829.983
93;Negro;BMW;38267.84
94;Blanco;Lexus;2141.443
95;Amarillo;Fiat;5582.719
96;Amarillo;Subaru;29372.685
97;Amarillo;AstonMartin;67143.427
98;Blanco;Jeep;20858.759
99;Negro;AlfaRomeo;97394.829
100;Verde;Alpine;8413.215
101;Amarillo;Smart;809.343
102;Blanco;AstonMartin;83807.637
103;Verde;Jeep;2567.105
104;Blanco;Tesla;40673.369
105;Blanco;Alpine;29149.759
106;Negro;Abarth;19176.614
107;Azul;Lotus;50590.356
108;Amarillo;Ford;7861.192
109;Verde;AstonMartin;7477.207
110;Negro;Subaru;13971.832
111;Negro;Renault;32534.853
112;Azul;Dacia;10400.6
113;Azul;Honda;71454.226
114;Azul;CUPRA;94862.107
115;Azul;Rivian;75558.352
116;Blanco;SsangYong;410.071
117;Amarillo;Lotus;61998.185
118;Verde;AstonMartin;1055.969
119;Rojo;BMW;39792.006
120;Negro;Maserati;91825.276
121;Azul;Ford;73654.954
122;Blanco;Mazda;48560.625
123;Azul;Lexus;85904.309
124;Verde;Dacia;3314.498
125;Negro;Dacia;80649.844
126;Verde;SEAT;114.24
127;Negro;Rivian;57053.413
128;Negro;Skoda;21764.488
129;Azul;Hyundai;69921.821
130;Azul;Pagani;29399.317
131;Verde;Citroën;98723.308
132;Rojo;Skoda;15618.421
133;Amarillo;Ferrari;19919.686
134;Verde;Mazda;1836.373
135;Amarillo;MINI;4099.479
136;Negro;Lotus;78226.466
137;Azul;Smart;7786.566
138;Rojo;SsangYong;87323.506
139;Rojo;Abarth;21174.865
140;Negro;Maserati;41623.375
141;Azul;CUPRA;5781.714
142;Verde;AlfaRomeo;72728.881
143;Azul;Rivian;90687.059
144;Azul;SsangYong;70776.464
145;Azul;Mitsubishi;40386.271
